network,station_code,initialization_time_utc,datetime_utc,observed_pm25,obs_n_obs,GEOSPM25,forecast_day,station_name
Lao PDR AQMS,AQMS09,2020-01-21 00:00:00+00:00,2020-01-21 16:30:00+00:00,21.833333,3,49.770233154296875,1,Xaythany
Lao PDR AQMS,AQMS07,2020-01-21 00:00:00+00:00,2020-01-21 19:30:00+00:00,18.0,3,47.33551406860352,1,Luang Prabang
Lao PDR AQMS,AQMS09,2020-01-21 00:00:00+00:00,2020-01-21 19:30:00+00:00,7.6,3,51.00628280639648,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-05 00:00:00+00:00,2020-02-05 10:30:00+00:00,5.8,3,44.53335189819336,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-05 00:00:00+00:00,2020-02-05 13:30:00+00:00,58.4,3,37.63413619995117,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-05 00:00:00+00:00,2020-02-05 16:30:00+00:00,44.233333,3,39.04532241821289,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-05 00:00:00+00:00,2020-02-05 19:30:00+00:00,49.3,3,39.90996170043945,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-05 00:00:00+00:00,2020-02-05 22:30:00+00:00,41.033333,3,42.92390060424805,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 01:30:00+00:00,30.466667,3,35.50697708129883,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 07:30:00+00:00,38.0,3,62.52259063720703,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 10:30:00+00:00,49.833333,3,60.414215087890625,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 13:30:00+00:00,76.433333,3,57.52204895019531,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-06 00:00:00+00:00,2020-02-06 13:30:00+00:00,41.7,3,63.64503860473633,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 16:30:00+00:00,61.633333,3,49.673683166503906,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-06 00:00:00+00:00,2020-02-06 16:30:00+00:00,70.0,3,66.15109252929688,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 19:30:00+00:00,46.133333,3,51.49391174316406,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-06 00:00:00+00:00,2020-02-06 19:30:00+00:00,74.3,3,63.412113189697266,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-06 00:00:00+00:00,2020-02-06 22:30:00+00:00,73.6,3,58.155704498291016,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-06 00:00:00+00:00,2020-02-06 22:30:00+00:00,59.933333,3,58.3009033203125,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 01:30:00+00:00,70.533333,3,61.50079727172851,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-07 00:00:00+00:00,2020-02-07 01:30:00+00:00,79.933333,3,54.841888427734375,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 04:30:00+00:00,68.366667,3,76.82652282714844,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 07:30:00+00:00,55.866667,3,65.38204956054688,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-07 00:00:00+00:00,2020-02-07 07:30:00+00:00,57.166667,3,65.09574890136719,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 10:30:00+00:00,53.3,3,56.71720504760742,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-07 00:00:00+00:00,2020-02-07 10:30:00+00:00,58.233333,3,59.36569595336914,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 13:30:00+00:00,69.333333,3,64.82953643798828,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-07 00:00:00+00:00,2020-02-07 13:30:00+00:00,73.466667,3,67.9798812866211,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 16:30:00+00:00,73.266667,3,67.97740936279297,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-07 00:00:00+00:00,2020-02-07 16:30:00+00:00,79.7,3,67.00824737548828,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 19:30:00+00:00,66.3,3,66.51580810546875,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-07 00:00:00+00:00,2020-02-07 22:30:00+00:00,48.966667,3,48.97236251831055,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 01:30:00+00:00,41.1,3,32.825439453125,1,Vientiane
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 04:30:00+00:00,38.9,3,23.915414810180664,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 04:30:00+00:00,31.0,3,22.07705307006836,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 07:30:00+00:00,25.633333,3,24.094268798828125,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 07:30:00+00:00,26.1,3,20.95942497253418,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 10:30:00+00:00,27.1,3,28.10715675354004,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 10:30:00+00:00,30.733333,3,27.28060531616211,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 13:30:00+00:00,40.166667,3,31.216552734375,1,Vientiane
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 13:30:00+00:00,45.633333,3,23.093490600585938,1,Xaythany
Lao PDR AQMS,AQMS09,2020-02-08 00:00:00+00:00,2020-02-08 16:30:00+00:00,49.766667,3,18.079309463500977,1,Xaythany
Lao PDR AQMS,AQMS06,2020-02-08 00:00:00+00:00,2020-02-08 19:30:00+00:00,29.566667,3,20.131420135498047,1,Vientiane
