date,time,pm25,pm10,station_name,lat,lon
2021-01-01,00:00,17.0,41.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,01:00,18.0,39.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,02:00,23.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,03:00,26.0,37.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,04:00,26.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,05:00,26.0,39.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,06:00,21.0,39.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,07:00,15.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,08:00,13.0,35.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,09:00,16.0,31.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,10:00,14.0,28.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,11:00,12.0,24.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,12:00,12.0,24.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,13:00,12.0,24.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,14:00,17.0,22.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,15:00,11.0,24.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,16:00,13.0,27.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,17:00,11.0,29.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,18:00,16.0,34.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,19:00,23.0,33.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,20:00,28.0,41.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,21:00,28.0,39.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,22:00,21.0,35.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-01,23:00,15.0,35.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,00:00,14.0,33.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,01:00,15.0,34.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,02:00,17.0,37.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,03:00,19.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,04:00,22.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,05:00,28.0,40.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,06:00,30.0,45.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,07:00,23.0,43.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,08:00,20.0,43.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,09:00,21.0,46.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,10:00,23.0,41.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,11:00,24.0,33.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,12:00,28.0,30.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,13:00,28.0,30.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,14:00,28.0,32.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,15:00,23.0,34.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,16:00,21.0,39.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,17:00,21.0,41.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,18:00,25.0,40.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,19:00,30.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,20:00,35.0,41.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,21:00,36.0,43.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,22:00,32.0,47.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-02,23:00,21.0,45.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,00:00,21.0,49.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,01:00,25.0,52.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,02:00,33.0,54.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,03:00,40.0,57.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,04:00,43.0,62.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,05:00,48.0,62.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,06:00,45.0,60.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,07:00,38.0,59.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,08:00,35.0,58.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,09:00,36.0,56.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,10:00,40.0,56.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,11:00,46.0,56.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,12:00,49.0,57.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,13:00,46.0,57.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,14:00,34.0,52.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,15:00,24.0,48.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,16:00,23.0,46.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,17:00,28.0,52.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,18:00,38.0,55.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,19:00,46.0,57.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,20:00,51.0,64.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,21:00,57.0,75.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,22:00,54.0,82.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-03,23:00,42.0,76.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,00:00,35.0,64.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,01:00,34.0,54.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,02:00,36.0,47.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,03:00,44.0,50.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,04:00,50.0,54.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,05:00,52.0,55.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,06:00,47.0,59.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,07:00,48.0,69.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,08:00,54.0,78.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,09:00,50.0,78.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,10:00,48.0,74.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,11:00,46.0,67.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,12:00,47.0,72.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,13:00,44.0,68.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,14:00,35.0,61.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,15:00,20.0,55.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,16:00,8.0,49.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,17:00,8.0,46.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,18:00,16.0,38.0,South Bangkok Power Plant,13.617982,100.556246
2021-01-04,19:00,22.0,35.0,South Bangkok Power Plant,13.617982,100.556246
