network,station_code,station_name,station_lat,station_lon,geos_lat_index,geos_lon_index,geos_grid_lat,geos_grid_lon,geos_distance_km,initialization_time,forecast_day,lead_hour,datetime_utc,datetime_local,observed_pm25,obs_n_obs,WIND,PS,Q500,Q850,QV10M,T10M,T500,T850,U10M,V10M,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,TOTEXTTAU,PM25,BC_MLPM25,GEOSPM25,NISMASS25
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2020-02-05 00:00:00,1,20,2020-02-05 19:30:00,2020-02-06 02:30:00,49.3,3,2.5976040363311768,98905.6484375,0.0003007189370691,0.0090978518128395,0.0106617035344243,295.546875,271.5762023925781,290.1496887207031,-2.477738380432129,0.7799742221832275,1.9719277620315552,0.9640654921531676,15.33875560760498,12.281816482543944,6.622798919677734,0.2578574419021606,0.936650812625885,55.772655844155835,59.40764798701298,39.90996170043945,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2020-02-05 00:00:00,1,22,2020-02-05 22:30:00,2020-02-06 05:30:00,41.033333,3,3.479705572128296,98908.40625,0.0003021934535354,0.0087486924603581,0.0113494349643588,295.0223388671875,271.883544921875,289.8143005371094,-2.88297700881958,1.948536396026611,2.055635929107666,0.9567915201187134,17.143728256225586,7.3414411544799805,6.346358299255371,0.3265188932418823,0.7892465591430664,60.38315211640211,64.52529884920634,42.92390060424805,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2020-02-06 00:00:00,1,22,2020-02-06 22:30:00,2020-02-07 05:30:00,73.6,3,1.721942901611328,98930.2109375,0.0002446300641167,0.0107276709750294,0.0117153720930218,295.6632995605469,270.8431701660156,290.23388671875,-0.5019217729568481,-1.6471678018569946,2.477543830871582,0.8577157258987427,24.070587158203125,22.613676071166992,8.181118965148926,0.2443488240242004,1.0137643814086914,64.24473331298331,68.81165397741148,58.155704498291016,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2020-02-08 00:00:00,1,4,2020-02-08 04:30:00,2020-02-08 11:30:00,31.0,3,3.9187376499176025,99635.25,0.0001594008208485,0.0068207010626792,0.0097256070002913,301.4261779785156,268.8429870605469,289.7761535644531,-3.8782942295074463,0.5615501403808594,1.1750671863555908,0.755790114402771,7.727066993713379,1.2041709423065186,4.402070045471191,0.184627428650856,0.8034016489982605,31.083878066378062,32.00310465367966,22.07705307006836,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2020-02-08 00:00:00,1,8,2020-02-08 07:30:00,2020-02-08 14:30:00,25.633333,3,3.916919231414795,99069.6171875,0.0001794622512534,0.0083773545920848,0.0090970685705542,304.22747802734375,268.9396667480469,289.61663818359375,-3.548647165298462,1.658119559288025,1.1677912473678589,0.7485141158103943,9.03674030303955,0.9176801443099976,4.184091091156006,0.1587068438529968,0.5308511853218079,28.259060328560327,28.86755696470196,24.094268798828125,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2020-02-08 00:00:00,1,20,2020-02-08 19:30:00,2020-02-09 02:30:00,26.833333,3,6.208043575286865,99593.671875,0.0002226787910331,0.0103770401328802,0.0110878255218267,294.59375,267.9034423828125,288.8822021484375,-6.192324161529541,-0.4415073096752167,1.5461472272872925,0.8039993643760681,6.395842552185059,2.866727352142334,4.652891635894775,0.2373791933059692,0.2510841488838196,27.802982378732377,28.361310440392938,20.497766494750977,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2020-02-09 00:00:00,1,2,2020-02-09 01:30:00,2020-02-09 08:30:00,34.2,3,4.9471025466918945,99653.1875,0.0002865858841687,0.0089263916015625,0.010386393405497,295.78826904296875,267.68695068359375,287.71087646484375,-4.8415398597717285,1.0165201425552368,1.4824764728546145,0.8485585451126099,7.945345878601074,2.8048815727233887,6.7813310623168945,0.3842615187168121,0.3351420760154724,34.47189203851703,35.76380016275391,26.341251373291016,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2020-02-09 00:00:00,1,10,2020-02-09 10:30:00,2020-02-09 17:30:00,12.733333,3,6.76947021484375,99374.734375,0.0003567995154298,0.0090637719258666,0.0093969348818063,301.2448425292969,267.4002685546875,288.26959228515625,-6.556309700012207,-1.685387134552002,1.30058753490448,0.6475602984428406,9.415145874023438,1.9972503185272217,5.057559490203857,0.2341948896646499,0.2082493901252746,33.433514309764305,34.61120088383838,26.08374786376953,
AQMS,AQMS06,AQMS06,17.96252778,102.6060556,52,139,18.0,102.5,11.965774,2020-02-11 00:00:00,1,4,2020-02-11 04:30:00,2020-02-11 11:30:00,25.0,3,0.6809197664260864,99293.96875,0.0003056547138839,0.0080109238624572,0.0095392065122723,301.491943359375,265.9254455566406,288.80560302734375,-0.5055680871009827,0.4561279118061065,0.7603375911712646,0.4929461181163788,5.224137783050537,1.50430428981781,3.205176591873169,0.2860360741615295,0.1803082972764969,27.026873607873608,27.499829704739703,15.349885940551758,
AQMS,AQMS09,AQMS09,18.10619444,102.6635278,52,140,18.0,102.812,19.684559,2020-02-12 00:00:00,1,4,2020-02-12 04:30:00,2020-02-12 11:30:00,52.966667,3,2.069390296936035,99342.703125,0.0002899225801229,0.0098572438582777,0.0104540418833494,304.7325439453125,268.2383117675781,289.9386901855469,0.5294559001922607,2.0005130767822266,1.0513758659362793,0.5429683327674866,9.356881141662598,2.059096097946167,3.856298923492432,0.5184119939804077,0.3154731690883636,35.13856866281866,36.50381121572872,24.25755500793457,
